index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
322,1,Guayule MAC D050 2018,2018-06-05 00:00:00,5.5,a,2
323,1,Guayule MAC D050 2018,2018-06-06 00:00:00,5.5,a,2
324,1,Guayule MAC D050 2018,2018-06-07 00:00:00,8,a,2
325,1,Guayule MAC D050 2018,2018-06-08 00:00:00,8,a,2
326,1,Guayule MAC D050 2018,2018-06-09 00:00:00,8,a,2
327,1,Guayule MAC D050 2018,2018-06-10 00:00:00,8,a,2
328,1,Guayule MAC D050 2018,2018-06-15 00:00:00,8,a,2
329,1,Guayule MAC D050 2018,2018-06-22 00:00:00,8,a,2
330,1,Guayule MAC D050 2018,2018-06-28 00:00:00,5.4,a,2
331,1,Guayule MAC D050 2018,2018-07-02 00:00:00,9,a,2
332,1,Guayule MAC D050 2018,2018-07-04 00:00:00,9,a,2
333,1,Guayule MAC D050 2018,2018-07-05 00:00:00,9,a,2
334,1,Guayule MAC D050 2018,2018-07-06 00:00:00,9,a,2
335,1,Guayule MAC D050 2018,2018-07-07 00:00:00,9,a,2
336,1,Guayule MAC D050 2018,2018-07-09 00:00:00,5.5,a,2
337,1,Guayule MAC D050 2018,2018-07-10 00:00:00,5.5,a,2
338,1,Guayule MAC D050 2018,2018-07-11 00:00:00,5.5,a,2
339,1,Guayule MAC D050 2018,2018-07-13 00:00:00,5.5,a,2
340,1,Guayule MAC D050 2018,2018-07-16 00:00:00,5.5,a,2
341,1,Guayule MAC D050 2018,2018-07-20 00:00:00,13.55,a,2
342,1,Guayule MAC D050 2018,2018-07-21 00:00:00,14.4,a,2
343,1,Guayule MAC D050 2018,2018-07-22 00:00:00,5.6,a,2
344,1,Guayule MAC D050 2018,2018-07-23 00:00:00,5.6,a,2
345,1,Guayule MAC D050 2018,2018-07-25 00:00:00,5.6,a,2
346,1,Guayule MAC D050 2018,2018-07-26 00:00:00,7.1,a,2
347,1,Guayule MAC D050 2018,2018-07-27 00:00:00,5.5,a,2
348,1,Guayule MAC D050 2018,2018-07-28 00:00:00,5.5,a,2
349,1,Guayule MAC D050 2018,2018-07-29 00:00:00,11.85,a,2
350,1,Guayule MAC D050 2018,2018-07-31 00:00:00,8,a,2
351,1,Guayule MAC D050 2018,2018-08-02 00:00:00,8,a,2
352,1,Guayule MAC D050 2018,2018-08-08 00:00:00,8,a,2
353,1,Guayule MAC D050 2018,2018-08-09 00:00:00,8,a,2
354,1,Guayule MAC D050 2018,2018-08-12 00:00:00,16,a,2
355,1,Guayule MAC D050 2018,2018-08-16 00:00:00,4.1,a,2
356,1,Guayule MAC D050 2018,2018-08-17 00:00:00,5.35,a,2
357,1,Guayule MAC D050 2018,2018-08-19 00:00:00,5.35,a,2
358,1,Guayule MAC D050 2018,2018-08-23 00:00:00,6.1,a,2
359,1,Guayule MAC D050 2018,2018-08-24 00:00:00,6.1,a,2
360,1,Guayule MAC D050 2018,2018-08-25 00:00:00,6.1,a,2
361,1,Guayule MAC D050 2018,2018-08-28 00:00:00,6,a,2
362,1,Guayule MAC D050 2018,2018-08-29 00:00:00,6,a,2
363,1,Guayule MAC D050 2018,2018-08-30 00:00:00,6,a,2
364,1,Guayule MAC D050 2018,2018-08-31 00:00:00,6,a,2
365,1,Guayule MAC D050 2018,2018-09-01 00:00:00,6,a,2
366,1,Guayule MAC D050 2018,2018-09-02 00:00:00,6,a,2
367,1,Guayule MAC D050 2018,2018-09-03 00:00:00,6,a,2
368,1,Guayule MAC D050 2018,2018-09-04 00:00:00,6,a,2
369,1,Guayule MAC D050 2018,2018-09-11 00:00:00,6,a,2
